player_id,name,arrival_season,position,prior_minutes,y1_minutes,prior_leagues
9082,Przemysław Tytoń,2015/2016,Goalkeeper,190.0,190.0,{'La Liga': 190.0}
12626,Emiliano Adrián Insúa Zapata,2015/2016,Full Back,190.0,190.0,{'La Liga': 190.0}
6985,Robin Gosens,2023/2024,Full Back,317.3,94.1,{'UEFA Euro': 317.26666666666665}
23452,Alex Král,2023/2024,Central Midfielder,140.4,127.8,{'UEFA Euro': 140.38333333333333}
24243,Brenden Aaronson,2023/2024,Attacking Midfielder,126.2,109.9,{'FIFA World Cup': 126.25}
29163,Josip Juranović,2023/2024,Full Back,738.1,77.9,"{'FIFA World Cup': 570.0, 'UEFA Euro': 168.08333333333331}"
42822,András Schäfer,2023/2024,Central Midfielder,234.9,62.2,{'UEFA Euro': 234.86666666666667}
44955,Aïssa Bilal Laïdouni,2023/2024,Central Midfielder,344.5,128.2,"{'FIFA World Cup': 249.54999999999998, 'Ligue 1': 95.0}"
11391,Borja Iglesias Quintas,2023/2024,Forward,301.0,282.3,{'La Liga': 300.98333333333335}
28239,Adam Hložek,2023/2024,Attacking Midfielder,96.9,548.5,{'UEFA Euro': 96.88333333333334}
38004,Piero Martín Hincapié Reyna,2023/2024,Central Defender,285.0,1578.8,{'FIFA World Cup': 285.0}
9102,Serhou Guirassy,2023/2024,Other,366.7,190.0,{'Ligue 1': 366.6833333333333}
20662,Alexander Nübel,2023/2024,Goalkeeper,190.0,190.0,{'Ligue 1': 190.0}
7044,Patrik Schick,2023/2024,Forward,405.4,1118.4,{'UEFA Euro': 405.45}
49337,Josip Stanišić,2023/2024,Central Defender,95.0,1354.3,{'FIFA World Cup': 95.0}
3493,Emre Can,2023/2024,Central Midfielder,2683.4,163.9,"{'Premier League': 2621.9, 'UEFA Euro': 48.91666666666667, 'Champions League': 12.549999999999997}"
8518,Marcel Sabitzer,2023/2024,Central Midfielder,380.0,190.0,{'UEFA Euro': 380.0}
17974,Gregor Kobel,2023/2024,Goalkeeper,95.0,190.0,{'FIFA World Cup': 95.0}
24118,Nico Schlotterbeck,2023/2024,Central Defender,103.7,158.5,{'FIFA World Cup': 103.71666666666667}
8949,Takuma Asano,2023/2024,Winger,153.8,64.9,{'FIFA World Cup': 153.83333333333331}
7829,Wout Weghorst,2023/2024,Other,250.6,171.9,"{'UEFA Euro': 202.48333333333332, 'FIFA World Cup': 48.099999999999994}"
3767,Ellyes Joris Skhiri,2023/2024,Central Midfielder,1438.6,100.7,"{'Ligue 1': 868.6166666666666, 'FIFA World Cup': 570.0}"
4440,Kevin Trapp,2023/2024,Goalkeeper,3180.0,190.0,{'Ligue 1': 3180.0}
50429,Hugo Ekitike,2023/2024,Other,951.2,79.3,{'Ligue 1': 951.2333333333331}
217047,Fares Chaïbi,2023/2024,Forward,126.8,161.6,{'Ligue 1': 126.8}
5623,Jae-Sung Lee,2023/2024,Attacking Midfielder,497.3,163.7,{'FIFA World Cup': 497.3166666666667}
7796,Silvan Widmer,2023/2024,Full Back,2601.1,58.8,"{'Serie A': 2020.2333333333336, 'UEFA Euro': 305.53333333333336, 'FIFA World Cup': 275.31666666666666}"
28914,Lovro Majer,2023/2024,Central Midfielder,289.5,87.1,"{'Ligue 1': 174.14999999999998, 'FIFA World Cup': 115.35}"
48500,Moritz Jenz,2023/2024,Central Defender,95.0,189.0,{'Ligue 1': 95.0}
8361,Ritsu Doan,2023/2024,Full Back,226.7,190.0,{'FIFA World Cup': 226.70000000000002}
19316,Roland Sallai,2023/2024,Forward,245.9,60.9,{'UEFA Euro': 245.85000000000002}
8400,Serge Gnabry,2023/2024,Winger,540.1,69.3,"{'FIFA World Cup': 268.29999999999995, 'UEFA Euro': 254.28333333333333, 'Premier League': 17.53333333333333}"
8506,Konrad Laimer,2023/2024,Full Back,343.8,84.8,{'UEFA Euro': 343.78333333333336}
8519,Dayotchanculle Upamecano,2023/2024,Central Defender,475.0,154.1,{'FIFA World Cup': 475.0}
10955,Harry Kane,2023/2024,Forward,5167.9,179.8,"{'Premier League': 3510.8166666666666, 'FIFA World Cup': 954.4, 'UEFA Euro': 607.65, 'Champions League': 95.0}"
12365,Alphonso Davies,2023/2024,Full Back,285.0,95.2,{'FIFA World Cup': 285.0}
15890,Noussair Mazraoui,2023/2024,Full Back,377.2,130.0,{'FIFA World Cup': 377.2}
39565,Jamal Musiala,2023/2024,Attacking Midfielder,285.1,115.8,"{'FIFA World Cup': 268.2166666666667, 'UEFA Euro': 16.83333333333333}"
43565,Min Jae Kim,2023/2024,Central Defender,281.2,190.0,{'FIFA World Cup': 281.2}
3676,Jérôme Roussillon,2023/2024,Full Back,2766.2,78.0,{'Ligue 1': 2766.2}
12423,Jadon Sancho,2023/2024,Winger,108.5,68.4,{'UEFA Euro': 108.45}
10956,Eric Dier,2023/2024,Central Defender,3710.2,95.0,"{'Premier League': 3425.916666666667, 'FIFA World Cup': 262.76666666666665, 'Champions League': 21.483333333333334}"
7198,Franck Honorat,2023/2024,Full Back,335.1,148.5,{'Ligue 1': 335.0833333333333}
7375,Theoson Jordan Siebatcheu,2023/2024,Other,943.4,79.0,{'Ligue 1': 943.3833333333332}
5536,Yussuf Yurary Poulsen,2023/2024,Other,528.2,55.0,"{'UEFA Euro': 280.15, 'FIFA World Cup': 248.08333333333334}"
8769,Xaver Schlager,2023/2024,Central Midfielder,382.6,178.0,{'UEFA Euro': 382.55}
12034,David Raum,2023/2024,Full Back,247.2,190.0,{'FIFA World Cup': 247.15}
16275,Ikoma Loïs Openda,2023/2024,Other,112.1,169.7,"{'Ligue 1': 95.0, 'FIFA World Cup': 17.11666666666666}"
16532,Daniel Olmo Carvajal,2023/2024,Attacking Midfielder,650.3,169.2,"{'FIFA World Cup': 382.35, 'UEFA Euro': 267.98333333333335}"
39167,Xavi Simons,2023/2024,Attacking Midfielder,115.4,144.1,"{'Ligue 1': 102.38333333333334, 'FIFA World Cup': 12.983333333333334}"
40185,Junior Castello Lukeba,2023/2024,Central Defender,190.0,128.5,{'Ligue 1': 190.0}
16027,Kevin Mbabu,2023/2024,Full Back,328.5,95.0,"{'UEFA Euro': 178.38333333333333, 'Premier League': 150.08333333333331}"
30401,Ruben Vargas,2023/2024,Attacking Midfielder,420.2,61.4,"{'FIFA World Cup': 286.95, 'UEFA Euro': 133.25}"
5602,Cristian Gamboa Luna,2023/2024,Full Back,294.0,95.0,"{'FIFA World Cup': 261.8333333333333, 'Premier League': 32.15}"
16554,Joakim Mæhle,2023/2024,Full Back,866.6,95.0,"{'UEFA Euro': 607.3, 'FIFA World Cup': 259.35}"
3913,Edimilson Fernandes,2023/2024,Central Defender,159.3,95.0,{'FIFA World Cup': 159.28333333333333}
3230,Alassane Pléa,2023/2024,Winger,1444.9,95.0,{'Ligue 1': 1444.8666666666668}
29003,Jonas Omlin,2023/2024,Goalkeeper,95.0,95.0,{'Ligue 1': 95.0}
29595,Ko Itakura,2023/2024,Central Defender,285.0,87.5,{'FIFA World Cup': 285.0}
8509,Willi Orban,2023/2024,Central Defender,285.0,95.0,{'UEFA Euro': 285.0}
