source,metric,abbrev,label,category,outcome,n,spearman_r,p_value
fbref,PrgC_Progression,PRGC,PrgC Progression,Passing,stable_trait_score,117,0.3576,0.0001
fbref,Att_Short,ATTSH,Att Short,Attacking,stable_trait_score,117,0.3421,0.0002
fbref,Recov,RECOV,Recov,Defending,stable_trait_score,117,0.3229,0.0004
fbref,PrgDist_Total,PRGDI,PrgDist Total,Passing,stable_trait_score,117,0.3201,0.0004
fbref,Final_Third,FINAL,Final Third,Passing,stable_trait_score,117,0.2915,0.0014
fbref,Crs,CRS,Crs,Passing,stable_trait_score,117,0.2841,0.0019
fbref,CrsPA,CRSPA,CrsPA,Passing,stable_trait_score,117,0.2806,0.0022
fbref,Att_3rd_Touches,ATT3R,Att 3rd Touches,Carrying,stable_trait_score,117,0.2741,0.0028
fbref,KP,KP,KP,Passing,stable_trait_score,117,0.2661,0.0037
fbref,Succ_Take,SUCC,Succ Take,Carrying,stable_trait_score,117,0.2462,0.0075
fbref,PrgR_Receiving,PRGRR,PrgR Receiving,Carrying,stable_trait_score,117,0.1813,0.0505
fbref,Tkld_Take,TKLD,Tkld Take,Defending,stable_trait_score,117,-0.1595,0.0859
fbref,Lost_Aerial,LOST,Lost Aerial,Defending,stable_trait_score,117,0.1411,0.1291
fbref,Def_3rd_Tackles,DEF3R,Def 3rd Tackles,Defending,stable_trait_score,117,0.1233,0.1854
fbref,Fld,FLD,Fld,Other,stable_trait_score,117,0.1143,0.22
fbref,Tkl_percent_Challenges,TKLPE,Tkl percent Challenges,Defending,stable_trait_score,117,0.0911,0.3285
fbref,xG_Per,XG,xG Per,Attacking,stable_trait_score,117,0.0871,0.3504
fbref,Int,INT,Int,Defending,stable_trait_score,117,0.0841,0.3671
fbref,Def_Pen_Touches,DEFPE,Def Pen Touches,Defending,stable_trait_score,117,-0.0748,0.4231
fbref,Won_percent_Aerial,WONPE,Won percent Aerial,Defending,stable_trait_score,117,0.0743,0.4261
fbref,Clr,CLR,Clr,Defending,stable_trait_score,117,-0.057,0.5416
fbref,Mis_Carries,MIS,Mis Carries,Carrying,stable_trait_score,117,0.0535,0.567
fbref,Cmp_percent_Medium,CMPPE,Cmp percent Medium,Passing,stable_trait_score,117,0.0515,0.5813
fbref,Gls_Standard,GLS,Gls Standard,Attacking,stable_trait_score,117,0.036,0.6997
fbref,Sh_Blocks,SH,Sh Blocks,Defending,stable_trait_score,117,-0.0334,0.7204
fbref,Won_Aerial,WON,Won Aerial,Defending,stable_trait_score,117,0.0056,0.9523
fbref,Lost_Aerial,LOST,Lost Aerial,Defending,y1_minutes,117,0.2458,0.0075
fbref,Final_Third,FINAL,Final Third,Passing,y1_minutes,117,0.2431,0.0083
fbref,Sh_Blocks,SH,Sh Blocks,Defending,y1_minutes,117,0.2342,0.011
fbref,Def_Pen_Touches,DEFPE,Def Pen Touches,Defending,y1_minutes,117,0.1951,0.035
fbref,Won_percent_Aerial,WONPE,Won percent Aerial,Defending,y1_minutes,117,0.1731,0.062
fbref,PrgDist_Total,PRGDI,PrgDist Total,Passing,y1_minutes,117,0.1663,0.0731
fbref,Mis_Carries,MIS,Mis Carries,Carrying,y1_minutes,117,0.1634,0.0784
fbref,Clr,CLR,Clr,Defending,y1_minutes,117,0.13,0.1623
fbref,Recov,RECOV,Recov,Defending,y1_minutes,117,0.1268,0.173
fbref,Tkl_percent_Challenges,TKLPE,Tkl percent Challenges,Defending,y1_minutes,117,0.104,0.2645
fbref,Int,INT,Int,Defending,y1_minutes,117,0.1021,0.2733
fbref,Cmp_percent_Medium,CMPPE,Cmp percent Medium,Passing,y1_minutes,117,0.0897,0.336
fbref,Gls_Standard,GLS,Gls Standard,Attacking,y1_minutes,117,0.0849,0.3628
fbref,KP,KP,KP,Passing,y1_minutes,117,0.0793,0.3951
fbref,Fld,FLD,Fld,Other,y1_minutes,117,-0.0694,0.4571
fbref,Tkld_Take,TKLD,Tkld Take,Defending,y1_minutes,117,0.0669,0.4739
fbref,PrgR_Receiving,PRGRR,PrgR Receiving,Carrying,y1_minutes,117,-0.0647,0.4881
fbref,Att_3rd_Touches,ATT3R,Att 3rd Touches,Carrying,y1_minutes,117,-0.0568,0.5433
fbref,Att_Short,ATTSH,Att Short,Attacking,y1_minutes,117,0.0554,0.5531
fbref,Def_3rd_Tackles,DEF3R,Def 3rd Tackles,Defending,y1_minutes,117,0.041,0.6604
fbref,Succ_Take,SUCC,Succ Take,Carrying,y1_minutes,117,-0.0401,0.6678
fbref,PrgC_Progression,PRGC,PrgC Progression,Passing,y1_minutes,117,-0.0231,0.805
fbref,Won_Aerial,WON,Won Aerial,Defending,y1_minutes,117,-0.0179,0.848
fbref,Crs,CRS,Crs,Passing,y1_minutes,117,-0.0102,0.9134
fbref,CrsPA,CRSPA,CrsPA,Passing,y1_minutes,117,0.0072,0.9382
fbref,xG_Per,XG,xG Per,Attacking,y1_minutes,117,0.0006,0.9947
fbref,Def_Pen_Touches,DEFPE,Def Pen Touches,Defending,y1_minutes_pct,117,,
fbref,PrgC_Progression,PRGC,PrgC Progression,Passing,y1_minutes_pct,117,,
fbref,PrgDist_Total,PRGDI,PrgDist Total,Passing,y1_minutes_pct,117,,
fbref,xG_Per,XG,xG Per,Attacking,y1_minutes_pct,117,,
fbref,PrgR_Receiving,PRGRR,PrgR Receiving,Carrying,y1_minutes_pct,117,,
fbref,KP,KP,KP,Passing,y1_minutes_pct,117,,
fbref,Att_3rd_Touches,ATT3R,Att 3rd Touches,Carrying,y1_minutes_pct,117,,
fbref,Clr,CLR,Clr,Defending,y1_minutes_pct,117,,
fbref,Gls_Standard,GLS,Gls Standard,Attacking,y1_minutes_pct,117,,
fbref,Succ_Take,SUCC,Succ Take,Carrying,y1_minutes_pct,117,,
fbref,Tkld_Take,TKLD,Tkld Take,Defending,y1_minutes_pct,117,,
fbref,Won_Aerial,WON,Won Aerial,Defending,y1_minutes_pct,117,,
fbref,Final_Third,FINAL,Final Third,Passing,y1_minutes_pct,117,,
fbref,Att_Short,ATTSH,Att Short,Attacking,y1_minutes_pct,117,,
fbref,Sh_Blocks,SH,Sh Blocks,Defending,y1_minutes_pct,117,,
fbref,Cmp_percent_Medium,CMPPE,Cmp percent Medium,Passing,y1_minutes_pct,117,,
fbref,Mis_Carries,MIS,Mis Carries,Carrying,y1_minutes_pct,117,,
fbref,CrsPA,CRSPA,CrsPA,Passing,y1_minutes_pct,117,,
fbref,Int,INT,Int,Defending,y1_minutes_pct,117,,
fbref,Lost_Aerial,LOST,Lost Aerial,Defending,y1_minutes_pct,117,,
fbref,Crs,CRS,Crs,Passing,y1_minutes_pct,117,,
fbref,Fld,FLD,Fld,Other,y1_minutes_pct,117,,
fbref,Won_percent_Aerial,WONPE,Won percent Aerial,Defending,y1_minutes_pct,117,,
fbref,Def_3rd_Tackles,DEF3R,Def 3rd Tackles,Defending,y1_minutes_pct,117,,
fbref,Tkl_percent_Challenges,TKLPE,Tkl percent Challenges,Defending,y1_minutes_pct,117,,
fbref,Recov,RECOV,Recov,Defending,y1_minutes_pct,117,,
